,Year,Month,District,Category,Arrivals,Present
0,2010,1.0,Bolzano,1-2 Star Hotel,1356,6728
1,2010,1.0,Bolzano,3 Star Hotel,4941,9768
2,2010,1.0,Bolzano,4-5 Star Hotel,7265,14385
3,2010,1.0,Bolzano,Other,867,1651
4,2010,1.0,Bolzano,Private Lodging,65,479
5,2010,1.0,Bolzano,Agricaltural Lodging,79,393
6,2010,1.0,Burgraviato,1-2 Star Hotel,1356,8655
7,2010,1.0,Burgraviato,3 Star Hotel,10841,47912
8,2010,1.0,Burgraviato,4-5 Star Hotel,10226,49487
9,2010,1.0,Burgraviato,Other,938,4241
10,2010,1.0,Burgraviato,Campings,0,87
11,2010,1.0,Burgraviato,Private Lodging,704,6380
12,2010,1.0,Burgraviato,Residence,1576,14698
13,2010,1.0,Burgraviato,Agricaltural Lodging,724,6322
14,2010,1.0,Valle Isarco,1-2 Star Hotel,7787,38264
15,2010,1.0,Valle Isarco,3 Star Hotel,20994,86454
16,2010,1.0,Valle Isarco,4-5 Star Hotel,12398,56419
17,2010,1.0,Valle Isarco,Other,1902,5671
18,2010,1.0,Valle Isarco,Campings,224,546
19,2010,1.0,Valle Isarco,Private Lodging,1211,7285
20,2010,1.0,Valle Isarco,Private Lodging,0,6
21,2010,1.0,Valle Isarco,Residence,1416,12429
22,2010,1.0,Valle Isarco,Agricaltural Lodging,1988,11689
23,2010,1.0,Val Pusteria,1-2 Star Hotel,32335,166091
24,2010,1.0,Val Pusteria,3 Star Hotel,80185,388592
25,2010,1.0,Val Pusteria,4-5 Star Hotel,54921,263240
26,2010,1.0,Val Pusteria,Other,3329,13040
27,2010,1.0,Val Pusteria,Campings,4605,34605
28,2010,1.0,Val Pusteria,Private Lodging,20964,127231
29,2010,1.0,Val Pusteria,Private Lodging,551,4670
30,2010,1.0,Val Pusteria,Residence,26770,159847
31,2010,1.0,Val Pusteria,Agricaltural Lodging,12180,73880
32,2010,1.0,Salto-Sciliar,1-2 Star Hotel,8635,45633
33,2010,1.0,Salto-Sciliar,3 Star Hotel,42057,221364
34,2010,1.0,Salto-Sciliar,4-5 Star Hotel,38628,207870
35,2010,1.0,Salto-Sciliar,Other,1101,2921
36,2010,1.0,Salto-Sciliar,Campings,472,3658
37,2010,1.0,Salto-Sciliar,Private Lodging,13241,84085
38,2010,1.0,Salto-Sciliar,Residence,10041,64783
39,2010,1.0,Salto-Sciliar,Agricaltural Lodging,2624,17428
40,2010,1.0,Val Venosta,1-2 Star Hotel,2969,14767
41,2010,1.0,Val Venosta,3 Star Hotel,11975,60544
42,2010,1.0,Val Venosta,4-5 Star Hotel,6180,30909
43,2010,1.0,Val Venosta,Other,102,400
44,2010,1.0,Val Venosta,Campings,260,2601
45,2010,1.0,Val Venosta,Private Lodging,1257,7533
46,2010,1.0,Val Venosta,Private Lodging,20,79
47,2010,1.0,Val Venosta,Residence,5137,28586
48,2010,1.0,Val Venosta,Agricaltural Lodging,1079,5875
49,2010,1.0,Alta Valle Isarco,1-2 Star Hotel,4919,17539
50,2010,1.0,Alta Valle Isarco,3 Star Hotel,11495,43042
51,2010,1.0,Alta Valle Isarco,4-5 Star Hotel,11465,47435
52,2010,1.0,Alta Valle Isarco,Other,282,5121
53,2010,1.0,Alta Valle Isarco,Campings,106,563
54,2010,1.0,Alta Valle Isarco,Private Lodging,657,3544
55,2010,1.0,Alta Valle Isarco,Residence,1045,6320
56,2010,1.0,Alta Valle Isarco,Agricaltural Lodging,768,5003
57,2010,1.0,Oltradige-Bassa Ates.,1-2 Star Hotel,1191,6534
58,2010,1.0,Oltradige-Bassa Ates.,3 Star Hotel,6454,25242
59,2010,1.0,Oltradige-Bassa Ates.,4-5 Star Hotel,802,2443
60,2010,1.0,Oltradige-Bassa Ates.,Other,73,339
61,2010,1.0,Oltradige-Bassa Ates.,Private Lodging,229,3691
62,2010,1.0,Oltradige-Bassa Ates.,Residence,189,5411
