Year,Month,Nationality,Arrivals,Present
2010,1.0,Andere Länder,64943,371009
2010,1.0,Beneluxstaaten,13436,74135
2010,1.0,Deutschland,173036,922869
2010,1.0,Italien,242283,1163671
2010,1.0,Schweiz und Liechtenstein,6394,27680
2010,1.0,Österreich,10359,36696
2010,2.0,Andere Länder,64103,390843
2010,2.0,Beneluxstaaten,29406,179413
2010,2.0,Deutschland,180887,1046708
2010,2.0,Italien,208130,940056
2010,2.0,Schweiz und Liechtenstein,7982,47587
2010,2.0,Österreich,11377,59232
2010,3.0,Andere Länder,46209,306790
2010,3.0,Beneluxstaaten,11467,75384
2010,3.0,Deutschland,181690,1001272
2010,3.0,Italien,146933,694157
2010,3.0,Schweiz und Liechtenstein,7698,38033
2010,3.0,Österreich,14840,58020
2010,4.0,Andere Länder,12826,67020
2010,4.0,Beneluxstaaten,9502,55732
2010,4.0,Deutschland,147913,800000
2010,4.0,Italien,81994,287996
2010,4.0,Schweiz und Liechtenstein,25393,106645
2010,4.0,Österreich,16632,48085
2010,5.0,Andere Länder,14529,58504
2010,5.0,Beneluxstaaten,7460,31641
2010,5.0,Deutschland,222713,1001544
2010,5.0,Italien,62404,185945
2010,5.0,Schweiz und Liechtenstein,29132,125073
2010,5.0,Österreich,24846,71576
2010,6.0,Andere Länder,28278,110693
2010,6.0,Beneluxstaaten,14205,71277
2010,6.0,Deutschland,231700,1284356
2010,6.0,Italien,101574,383681
2010,6.0,Schweiz und Liechtenstein,22755,105540
2010,6.0,Österreich,26896,82724
2010,7.0,Andere Länder,49714,197524
2010,7.0,Beneluxstaaten,43537,244957
2010,7.0,Deutschland,258846,1544194
2010,7.0,Italien,320303,1714741
2010,7.0,Schweiz und Liechtenstein,34251,164022
2010,7.0,Österreich,26562,90240
2010,8.0,Andere Länder,32680,136250
2010,8.0,Beneluxstaaten,21639,145419
2010,8.0,Deutschland,307489,1709299
2010,8.0,Italien,447011,3059004
2010,8.0,Schweiz und Liechtenstein,21562,97469
2010,8.0,Österreich,26060,88153
2010,9.0,Andere Länder,28020,107571
2010,9.0,Beneluxstaaten,10053,53597
2010,9.0,Deutschland,336168,1966493
2010,9.0,Italien,109277,480291
2010,9.0,Schweiz und Liechtenstein,33559,146083
2010,9.0,Österreich,36880,124368
2010,10.0,Andere Länder,13426,66886
2010,10.0,Beneluxstaaten,3114,15804
2010,10.0,Deutschland,262851,1277247
2010,10.0,Italien,83812,230730
2010,10.0,Schweiz und Liechtenstein,35397,161088
2010,10.0,Österreich,40240,116623
2010,11.0,Andere Länder,7944,42788
2010,11.0,Beneluxstaaten,847,3817
2010,11.0,Deutschland,35173,170007
2010,11.0,Italien,74562,193880
2010,11.0,Schweiz und Liechtenstein,4818,18840
2010,11.0,Österreich,10606,24971
2010,12.0,Andere Länder,35255,177370
2010,12.0,Beneluxstaaten,8592,51930
2010,12.0,Deutschland,98122,473762
2010,12.0,Italien,325383,1129628
2010,12.0,Schweiz und Liechtenstein,6498,23217
2010,12.0,Österreich,7006,20641
2011,1.0,Andere Länder,65954,389073
2011,1.0,Beneluxstaaten,14221,80697
2011,1.0,Deutschland,178895,971595
2011,1.0,Italien,261907,1228660
2011,1.0,Schweiz und Liechtenstein,6991,31019
2011,1.0,Österreich,8564,33154
2011,2.0,Andere Länder,72796,439514
2011,2.0,Beneluxstaaten,21347,123284
2011,2.0,Deutschland,149424,877770
2011,2.0,Italien,187953,804304
2011,2.0,Schweiz und Liechtenstein,8811,50327
2011,2.0,Österreich,15359,69498
2011,3.0,Andere Länder,46405,302913
2011,3.0,Beneluxstaaten,21731,142673
2011,3.0,Deutschland,176475,991123
2011,3.0,Italien,166598,780770
2011,3.0,Schweiz und Liechtenstein,8130,42288
2011,3.0,Österreich,12106,47752
2011,4.0,Andere Länder,12481,61295
2011,4.0,Beneluxstaaten,7046,40770
2011,4.0,Deutschland,180312,860386
2011,4.0,Italien,64961,198431
2011,4.0,Schweiz und Liechtenstein,26824,108111
2011,4.0,Österreich,19123,55149
2011,5.0,Andere Länder,14888,61343
2011,5.0,Beneluxstaaten,6437,27495
2011,5.0,Deutschland,161324,793831
2011,5.0,Italien,51331,151725
2011,5.0,Schweiz und Liechtenstein,25728,122962
2011,5.0,Österreich,22579,66561
2011,6.0,Andere Länder,29605,114361
2011,6.0,Beneluxstaaten,14696,72768
2011,6.0,Deutschland,306248,1576193
2011,6.0,Italien,116017,410069
2011,6.0,Schweiz und Liechtenstein,29628,125520
2011,6.0,Österreich,28961,90341
2011,7.0,Andere Länder,54333,208580
2011,7.0,Beneluxstaaten,48128,257276
2011,7.0,Deutschland,289892,1615863
2011,7.0,Italien,319702,1727382
2011,7.0,Schweiz und Liechtenstein,40915,194547
2011,7.0,Österreich,28222,97259
2011,8.0,Andere Länder,33552,144395
2011,8.0,Beneluxstaaten,23088,149736
2011,8.0,Deutschland,314833,1845533
2011,8.0,Italien,435344,2923705
2011,8.0,Schweiz und Liechtenstein,23976,117506
