Year,Month,District,Nationality,Arrivals,Present
2010,1.0,Alta Valle Isarco,Austria,633,1557
2010,1.0,Alta Valle Isarco,Benelux countries,414,2235
2010,1.0,Alta Valle Isarco,Germany,17896,74106
2010,1.0,Alta Valle Isarco,Italy,10674,45831
2010,1.0,Alta Valle Isarco,Other countries,840,3928
2010,1.0,Alta Valle Isarco,Switzerland and Liechtenstein,280,910
2010,1.0,Bolzano,Austria,462,972
2010,1.0,Bolzano,Benelux countries,91,164
2010,1.0,Bolzano,Germany,1768,3512
2010,1.0,Bolzano,Italy,10319,23709
2010,1.0,Bolzano,Other countries,1763,4663
2010,1.0,Bolzano,Switzerland and Liechtenstein,170,384
2010,1.0,Burggrafenamt,Austria,879,2877
2010,1.0,Burggrafenamt,Benelux countries,188,1247
2010,1.0,Burggrafenamt,Germany,6825,45442
2010,1.0,Burggrafenamt,Italy,16375,73689
2010,1.0,Burggrafenamt,Other countries,1460,11254
2010,1.0,Burggrafenamt,Switzerland and Liechtenstein,638,3273
2010,1.0,Oltradige-Bassa Ates.,Austria,166,518
2010,1.0,Oltradige-Bassa Ates.,Benelux countries,140,678
2010,1.0,Oltradige-Bassa Ates.,Germany,1981,14272
2010,1.0,Oltradige-Bassa Ates.,Italy,5520,23164
2010,1.0,Oltradige-Bassa Ates.,Other countries,1162,7450
2010,1.0,Oltradige-Bassa Ates.,Switzerland and Liechtenstein,269,1230
2010,1.0,Salto-Schiliar,Austria,2062,8628
2010,1.0,Salto-Schiliar,Benelux countries,5680,32879
2010,1.0,Salto-Schiliar,Germany,32218,187779
2010,1.0,Salto-Schiliar,Italy,54304,279686
2010,1.0,Salto-Schiliar,Other countries,21193,131673
2010,1.0,Salto-Schiliar,Switzerland and Liechtenstein,1342,7097
2010,1.0,Val Pusteria,Austria,4667,17557
2010,1.0,Val Pusteria,Benelux countries,5578,30203
2010,1.0,Val Pusteria,Germany,73048,396212
2010,1.0,Val Pusteria,Italy,119307,601147
2010,1.0,Val Pusteria,Other countries,31884,179883
2010,1.0,Val Pusteria,Switzerland and Liechtenstein,1356,6194
2010,1.0,Val Venosta,Austria,505,1583
2010,1.0,Val Venosta,Benelux countries,619,3940
2010,1.0,Val Venosta,Germany,16163,90900
2010,1.0,Val Venosta,Italy,7087,34975
2010,1.0,Val Venosta,Other countries,2902,14152
2010,1.0,Val Venosta,Switzerland and Liechtenstein,1703,5744
2010,1.0,Valle Isarco,Austria,985,3004
2010,1.0,Valle Isarco,Benelux countries,726,2789
2010,1.0,Valle Isarco,Germany,23137,110646
2010,1.0,Valle Isarco,Italy,18697,81470
2010,1.0,Valle Isarco,Other countries,3739,18006
2010,1.0,Valle Isarco,Switzerland and Liechtenstein,636,2848
2010,2.0,Alta Valle Isarco,Austria,568,2915
2010,2.0,Alta Valle Isarco,Benelux countries,1277,6671
2010,2.0,Alta Valle Isarco,Germany,17705,83983
2010,2.0,Alta Valle Isarco,Italy,8722,32365
2010,2.0,Alta Valle Isarco,Other countries,1461,7909
2010,2.0,Alta Valle Isarco,Switzerland and Liechtenstein,366,2416
2010,2.0,Bolzano,Austria,542,893
2010,2.0,Bolzano,Benelux countries,278,381
2010,2.0,Bolzano,Germany,1839,3379
2010,2.0,Bolzano,Italy,7417,16137
2010,2.0,Bolzano,Other countries,1435,4106
2010,2.0,Bolzano,Switzerland and Liechtenstein,176,300
2010,2.0,Burggrafenamt,Austria,1264,5046
2010,2.0,Burggrafenamt,Benelux countries,534,3669
2010,2.0,Burggrafenamt,Germany,9246,51380
2010,2.0,Burggrafenamt,Italy,12324,43485
2010,2.0,Burggrafenamt,Other countries,1310,9780
2010,2.0,Burggrafenamt,Switzerland and Liechtenstein,1075,6108
2010,2.0,Oltradige-Bassa Ates.,Austria,491,1983
2010,2.0,Oltradige-Bassa Ates.,Benelux countries,556,2344
2010,2.0,Oltradige-Bassa Ates.,Germany,3020,14082
2010,2.0,Oltradige-Bassa Ates.,Italy,3553,13688
2010,2.0,Oltradige-Bassa Ates.,Other countries,1460,10536
2010,2.0,Oltradige-Bassa Ates.,Switzerland and Liechtenstein,345,1656
2010,2.0,Salto-Schiliar,Austria,1812,11024
2010,2.0,Salto-Schiliar,Benelux countries,9788,62865
2010,2.0,Salto-Schiliar,Germany,35744,225903
2010,2.0,Salto-Schiliar,Italy,48858,238415
2010,2.0,Salto-Schiliar,Other countries,19978,131108
2010,2.0,Salto-Schiliar,Switzerland and Liechtenstein,1338,7950
2010,2.0,Val Pusteria,Austria,4727,28869
2010,2.0,Val Pusteria,Benelux countries,11972,75997
2010,2.0,Val Pusteria,Germany,70584,436937
2010,2.0,Val Pusteria,Italy,107422,522390
