,Year,district_c,Nationality,Arrivals,Present
0,2010,1,Austria,20383,39817
1,2010,1,Benelux countries,6688,13314
2,2010,1,Germany,66961,154140
3,2010,1,Italy,113705,251730
4,2010,1,Other countries,41136,94395
5,2010,1,Switzerland and Liechtenstein,9854,21453
6,2010,2,Austria,67149,234229
7,2010,2,Benelux countries,23589,170486
8,2010,2,Germany,703240,4328320
9,2010,2,Italy,247962,923875
10,2010,2,Other countries,32375,190716
11,2010,2,Switzerland and Liechtenstein,107821,535341
12,2010,3,Austria,24924,70880
13,2010,3,Benelux countries,15315,62947
14,2010,3,Germany,275990,1311680
15,2010,3,Italy,189385,824600
16,2010,3,Other countries,38066,173415
17,2010,3,Switzerland and Liechtenstein,12361,49915
18,2010,4,Austria,47606,171109
19,2010,4,Benelux countries,52901,320849
20,2010,4,Germany,474843,2651762
21,2010,4,Italy,906540,4865912
22,2010,4,Other countries,133578,707675
23,2010,4,Switzerland and Liechtenstein,21834,93910
24,2010,5,Austria,24069,98013
25,2010,5,Benelux countries,34491,218582
26,2010,5,Germany,309349,1852107
27,2010,5,Italy,410753,2239513
28,2010,5,Other countries,90091,546055
29,2010,5,Switzerland and Liechtenstein,19797,96700
30,2010,6,Austria,40046,125532
31,2010,6,Benelux countries,12077,62762
32,2010,6,Germany,254423,1234115
33,2010,6,Italy,87364,306895
34,2010,6,Other countries,23751,138489
35,2010,6,Switzerland and Liechtenstein,26377,117928
36,2010,7,Austria,18503,56064
37,2010,7,Benelux countries,19579,117545
38,2010,7,Germany,211594,1100720
39,2010,7,Italy,126352,543642
40,2010,7,Other countries,25914,135225
41,2010,7,Switzerland and Liechtenstein,32874,128522
42,2010,8,Austria,9624,25685
43,2010,8,Benelux countries,8618,36621
44,2010,8,Germany,140188,564907
45,2010,8,Italy,121605,507613
46,2010,8,Other countries,13016,47278
47,2010,8,Switzerland and Liechtenstein,4521,17508
48,2011,1,Austria,21684,44381
49,2011,1,Benelux countries,7279,14368
50,2011,1,Germany,70743,161541
51,2011,1,Italy,112184,243007
52,2011,1,Other countries,43741,102015
53,2011,1,Switzerland and Liechtenstein,10782,22872
54,2011,2,Austria,65123,232018
55,2011,2,Benelux countries,25063,174001
56,2011,2,Germany,734370,4486287
57,2011,2,Italy,238893,850731
58,2011,2,Other countries,35414,198723
59,2011,2,Switzerland and Liechtenstein,118827,604031
60,2011,3,Austria,26871,77147
61,2011,3,Benelux countries,15565,64390
62,2011,3,Germany,286694,1345743
63,2011,3,Italy,186377,798796
64,2011,3,Other countries,38096,180420
65,2011,3,Switzerland and Liechtenstein,12983,52897
66,2011,4,Austria,45379,162139
67,2011,4,Benelux countries,52620,311105
68,2011,4,Germany,486146,2661507
69,2011,4,Italy,904645,4760470
70,2011,4,Other countries,141970,748585
71,2011,4,Switzerland and Liechtenstein,24495,106247
72,2011,5,Austria,24731,99524
73,2011,5,Benelux countries,35051,217217
74,2011,5,Germany,320640,1891990
75,2011,5,Italy,413332,2181183
76,2011,5,Other countries,95891,576933
77,2011,5,Switzerland and Liechtenstein,22499,110526
78,2011,6,Austria,42053,133294
79,2011,6,Benelux countries,13437,72113
80,2011,6,Germany,264284,1273505
81,2011,6,Italy,90512,318306
82,2011,6,Other countries,22158,118544
83,2011,6,Switzerland and Liechtenstein,27944,126159
84,2011,7,Austria,19561,58644
85,2011,7,Benelux countries,21476,126412
86,2011,7,Germany,230029,1146842
87,2011,7,Italy,130769,536299
88,2011,7,Other countries,26390,137315
89,2011,7,Switzerland and Liechtenstein,39658,151190
90,2011,8,Austria,10599,29023
91,2011,8,Benelux countries,9428,34387
92,2011,8,Germany,147686,573051
93,2011,8,Italy,121820,495052
94,2011,8,Other countries,14366,54786
95,2011,8,Switzerland and Liechtenstein,4300,16093
96,2012,1,Austria,20438,41826
97,2012,1,Benelux countries,6839,14786
98,2012,1,Germany,70532,163224
99,2012,1,Italy,111245,224561
100,2012,1,Other countries,45459,100159
101,2012,1,Switzerland and Liechtenstein,10554,22888
102,2012,2,Austria,68198,232930
103,2012,2,Benelux countries,26084,173141
104,2012,2,Germany,752532,4558709
105,2012,2,Italy,226930,768717
106,2012,2,Other countries,37339,204181
107,2012,2,Switzerland and Liechtenstein,130254,656763
108,2012,3,Austria,28404,80048
109,2012,3,Benelux countries,16774,69744
110,2012,3,Germany,306130,1437840
111,2012,3,Italy,186558,770412
112,2012,3,Other countries,40421,185048
