Year,Month,Season,Nationality,district_c,Arrivals
2010,1.0,Winter,Austria,1,177
2010,1.0,Winter,Austria,2,1559
2010,1.0,Winter,Austria,3,1290
2010,1.0,Winter,Austria,4,1835
2010,1.0,Winter,Austria,5,4961
2010,1.0,Winter,Austria,6,70
2010,1.0,Winter,Austria,7,221
2010,1.0,Winter,Austria,8,246
2010,1.0,Winter,Benelux countries,1,37
2010,1.0,Winter,Benelux countries,2,1630
2010,1.0,Winter,Benelux countries,3,1372
2010,1.0,Winter,Benelux countries,4,2217
2010,1.0,Winter,Benelux countries,5,7730
2010,1.0,Winter,Benelux countries,6,59
2010,1.0,Winter,Benelux countries,7,235
2010,1.0,Winter,Benelux countries,8,156
2010,1.0,Winter,Germany,1,732
2010,1.0,Winter,Germany,2,23234
2010,1.0,Winter,Germany,3,23240
2010,1.0,Winter,Germany,4,29535
2010,1.0,Winter,Germany,5,81773
2010,1.0,Winter,Germany,6,814
2010,1.0,Winter,Germany,7,6535
2010,1.0,Winter,Germany,8,7173
2010,1.0,Winter,Italy,1,4110
2010,1.0,Winter,Italy,2,35394
2010,1.0,Winter,Italy,3,27187
2010,1.0,Winter,Italy,4,47492
2010,1.0,Winter,Italy,5,118636
2010,1.0,Winter,Italy,6,2211
2010,1.0,Winter,Italy,7,2898
2010,1.0,Winter,Italy,8,4355
2010,1.0,Winter,Other countries,1,727
2010,1.0,Winter,Other countries,2,8294
2010,1.0,Winter,Other countries,3,6775
2010,1.0,Winter,Other countries,4,12694
2010,1.0,Winter,Other countries,5,34544
2010,1.0,Winter,Other countries,6,464
2010,1.0,Winter,Other countries,7,1137
2010,1.0,Winter,Other countries,8,308
2010,1.0,Winter,Switzerland and Liechtenstein,1,70
2010,1.0,Winter,Switzerland and Liechtenstein,2,1002
2010,1.0,Winter,Switzerland and Liechtenstein,3,793
2010,1.0,Winter,Switzerland and Liechtenstein,4,496
2010,1.0,Winter,Switzerland and Liechtenstein,5,3144
2010,1.0,Winter,Switzerland and Liechtenstein,6,91
2010,1.0,Winter,Switzerland and Liechtenstein,7,686
2010,1.0,Winter,Switzerland and Liechtenstein,8,112
2010,2.0,Winter,Austria,1,230
2010,2.0,Winter,Austria,2,1798
2010,2.0,Winter,Austria,3,1465
2010,2.0,Winter,Austria,4,1951
2010,2.0,Winter,Austria,5,5221
2010,2.0,Winter,Austria,6,201
2010,2.0,Winter,Austria,7,285
2010,2.0,Winter,Austria,8,226
2010,2.0,Winter,Benelux countries,1,120
2010,2.0,Winter,Benelux countries,2,3714
2010,2.0,Winter,Benelux countries,3,3388
2010,2.0,Winter,Benelux countries,4,4863
2010,2.0,Winter,Benelux countries,5,15583
2010,2.0,Winter,Benelux countries,6,226
2010,2.0,Winter,Benelux countries,7,998
2010,2.0,Winter,Benelux countries,8,514
2010,2.0,Winter,Germany,1,753
2010,2.0,Winter,Germany,2,25183
2010,2.0,Winter,Germany,3,24644
2010,2.0,Winter,Germany,4,28141
2010,2.0,Winter,Germany,5,86900
2010,2.0,Winter,Germany,6,1205
2010,2.0,Winter,Germany,7,7002
