,Year,Month,district_c,Category,Arrivals,Present,Season
0,2010,1.0,1,1-2 Star Hotel,1356,6728,Winter
1,2010,1.0,1,3 Star Hotel,4941,9768,Winter
2,2010,1.0,1,4-5 Star Hotel,7265,14385,Winter
3,2010,1.0,1,Agricaltural Lodging,79,393,Winter
4,2010,1.0,1,Other,867,1651,Winter
5,2010,1.0,1,Private Lodging,65,479,Winter
6,2010,1.0,2,1-2 Star Hotel,1356,8655,Winter
7,2010,1.0,2,3 Star Hotel,10841,47912,Winter
8,2010,1.0,2,4-5 Star Hotel,10226,49487,Winter
9,2010,1.0,2,Agricaltural Lodging,724,6322,Winter
10,2010,1.0,2,Campings,0,87,Winter
11,2010,1.0,2,Other,938,4241,Winter
12,2010,1.0,2,Private Lodging,704,6380,Winter
13,2010,1.0,2,Residence,1576,14698,Winter
14,2010,1.0,3,1-2 Star Hotel,7787,38264,Winter
15,2010,1.0,3,3 Star Hotel,20994,86454,Winter
16,2010,1.0,3,4-5 Star Hotel,12398,56419,Winter
17,2010,1.0,3,Agricaltural Lodging,1988,11689,Winter
18,2010,1.0,3,Campings,224,546,Winter
19,2010,1.0,3,Other,1902,5671,Winter
20,2010,1.0,3,Private Lodging,1211,7291,Winter
21,2010,1.0,3,Residence,1416,12429,Winter
22,2010,1.0,4,1-2 Star Hotel,32335,166091,Winter
23,2010,1.0,4,3 Star Hotel,80185,388592,Winter
24,2010,1.0,4,4-5 Star Hotel,54921,263240,Winter
25,2010,1.0,4,Agricaltural Lodging,12180,73880,Winter
26,2010,1.0,4,Campings,4605,34605,Winter
27,2010,1.0,4,Other,3329,13040,Winter
28,2010,1.0,4,Private Lodging,21515,131901,Winter
29,2010,1.0,4,Residence,26770,159847,Winter
30,2010,1.0,5,1-2 Star Hotel,8635,45633,Winter
31,2010,1.0,5,3 Star Hotel,42057,221364,Winter
32,2010,1.0,5,4-5 Star Hotel,38628,207870,Winter
33,2010,1.0,5,Agricaltural Lodging,2624,17428,Winter
34,2010,1.0,5,Campings,472,3658,Winter
35,2010,1.0,5,Other,1101,2921,Winter
36,2010,1.0,5,Private Lodging,13241,84085,Winter
37,2010,1.0,5,Residence,10041,64783,Winter
