Year,Category,district_c,Arrivals,Present
2010,1-2 Star Hotel,1,22044,92518
2010,1-2 Star Hotel,2,89060,489974
2010,1-2 Star Hotel,3,74152,357277
2010,1-2 Star Hotel,4,195894,1072208
2010,1-2 Star Hotel,5,64669,340983
2010,1-2 Star Hotel,6,44730,194826
2010,1-2 Star Hotel,7,47909,201343
2010,1-2 Star Hotel,8,42952,136108
2010,3 Star Hotel,1,88342,172120
2010,3 Star Hotel,2,439524,2206627
2010,3 Star Hotel,3,233252,981162
2010,3 Star Hotel,4,549895,2710700
2010,3 Star Hotel,5,320684,1696500
2010,3 Star Hotel,6,230375,789382
2010,3 Star Hotel,7,166332,740899
2010,3 Star Hotel,8,114397,392737
2010,4-5 Star Hotel,1,126769,233271
2010,4-5 Star Hotel,2,402936,2008731
2010,4-5 Star Hotel,3,141716,598553
2010,4-5 Star Hotel,4,409195,1971156
2010,4-5 Star Hotel,5,298006,1599419
2010,4-5 Star Hotel,6,66813,302777
2010,4-5 Star Hotel,7,78440,370328
2010,4-5 Star Hotel,8,103992,446278
2010,Agricaltural Lodging,1,1731,8009
2010,Agricaltural Lodging,2,54320,378963
2010,Agricaltural Lodging,3,32314,202585
2010,Agricaltural Lodging,4,87915,634322
2010,Agricaltural Lodging,5,38050,275733
2010,Agricaltural Lodging,6,42532,280403
2010,Agricaltural Lodging,7,19899,127870
2010,Agricaltural Lodging,8,6597,48120
2010,Campings,1,7204,35161
2010,Campings,2,47343,285894
2010,Campings,3,13252,27568
2010,Campings,4,69283,396015
2010,Campings,5,13384,74615
2010,Campings,6,27240,161902
2010,Campings,7,41354,202518
2010,Campings,8,6670,20719
2010,Other,1,12289,26378
2010,Other,2,20208,59267
2010,Other,3,31564,89144
2010,Other,4,55540,159973
2010,Other,5,12212,44904
2010,Other,6,3720,13655
2010,Other,7,14558,26731
2010,Other,8,7482,45314
2010,Private Lodging,1,348,7392
2010,Private Lodging,2,44544,303188
2010,Private Lodging,3,15400,96179
2010,Private Lodging,4,121341,847276
2010,Private Lodging,5,81078,571619
2010,Private Lodging,6,16558,115054
2010,Private Lodging,7,17560,112720
2010,Private Lodging,8,5630,39739
2010,Residence,2,84201,650323
2010,Residence,3,14391,140969
2010,Residence,4,148239,1019567
2010,Residence,5,60467,447197
2010,Residence,6,12070,127722
2010,Residence,7,48764,299309
2010,Residence,8,9852,70597
2011,1-2 Star Hotel,1,23878,92378
2011,1-2 Star Hotel,2,90638,484862
2011,1-2 Star Hotel,3,72647,351095
2011,1-2 Star Hotel,4,195392,1050115
2011,1-2 Star Hotel,5,63517,320979
2011,1-2 Star Hotel,6,44644,198891
2011,1-2 Star Hotel,7,51928,205251
2011,1-2 Star Hotel,8,44201,134484
2011,3 Star Hotel,1,83293,163986
2011,3 Star Hotel,2,451316,2256032
2011,3 Star Hotel,3,233768,973232
2011,3 Star Hotel,4,552622,2671655
2011,3 Star Hotel,5,333852,1727855
2011,3 Star Hotel,6,239968,818258
2011,3 Star Hotel,7,176140,758852
2011,3 Star Hotel,8,118146,385691
2011,4-5 Star Hotel,1,135145,245669
2011,4-5 Star Hotel,2,411217,2086049
2011,4-5 Star Hotel,3,145990,614187
2011,4-5 Star Hotel,4,411225,1972621
2011,4-5 Star Hotel,5,300995,1601976
2011,4-5 Star Hotel,6,73434,325706
2011,4-5 Star Hotel,7,87914,406831
2011,4-5 Star Hotel,8,107214,455768
2011,Agricaltural Lodging,1,1672,7430
2011,Agricaltural Lodging,2,58260,392711
2011,Agricaltural Lodging,3,35932,218893
2011,Agricaltural Lodging,4,92760,647168
2011,Agricaltural Lodging,5,40910,288074
