Year,Month,district_c,Season,Austria,Benelux countries,Germany,Italy,Other countries,Switzerland and Liechtenstein,Arrivals,District,Seasono,Unnamed: 0,Arrivalso,Present
2010,1.0,1,Winter,462.0,91.0,1768.0,10319.0,1763.0,170.0,14573.0,Bozen,Winter,273,14573,33404
2010,1.0,2,Winter,879.0,188.0,6825.0,16375.0,1460.0,638.0,26365.0,Burggrafenamt,Winter,44478,26365,137782
2010,1.0,3,Winter,985.0,726.0,23137.0,18697.0,3739.0,636.0,47920.0,Eisacktal,Winter,21639,47920,218763
2010,1.0,4,Winter,4667.0,5578.0,73048.0,119307.0,31884.0,1356.0,235840.0,Pustertal,Winter,49366,235840,1231196
2010,1.0,5,Winter,2062.0,5680.0,32218.0,54304.0,21193.0,1342.0,116799.0,Salten-Schlern,Winter,29184,116799,647742
2010,1.0,6,Winter,166.0,140.0,1981.0,5520.0,1162.0,269.0,9238.0,Uberetsch-Unterland,Winter,21776,9238,47312
2010,1.0,7,Winter,505.0,619.0,16163.0,7087.0,2902.0,1703.0,28979.0,Vinschgau,Winter,23617,28979,151294
2010,1.0,8,Winter,633.0,414.0,17896.0,10674.0,840.0,280.0,30737.0,Wipptal,Winter,9063,30737,128567
2010,2.0,1,Winter,542.0,278.0,1839.0,7417.0,1435.0,176.0,11687.0,Bozen,Winter,4071,11687,25196
2010,2.0,2,Winter,1264.0,534.0,9246.0,12324.0,1310.0,1075.0,25753.0,Burggrafenamt,Winter,113110,25753,119468
2010,2.0,3,Winter,1333.0,2521.0,25232.0,13966.0,8030.0,781.0,51863.0,Eisacktal,Winter,66435,51863,242979
2010,2.0,4,Winter,4727.0,11972.0,70584.0,107422.0,26941.0,1487.0,223133.0,Pustertal,Winter,146920,223133,1236986
2010,2.0,5,Winter,1812.0,9788.0,35744.0,48858.0,19978.0,1338.0,117518.0,Salten-Schlern,Winter,75618,117518,677265
2010,2.0,6,Winter,491.0,556.0,3020.0,3553.0,1460.0,345.0,9425.0,Uberetsch-Unterland,Winter,79209,9425,44289
2010,2.0,7,Winter,640.0,2480.0,17517.0,5868.0,3488.0,2414.0,32407.0,Vinschgau,Winter,71096,32407,181397
2010,2.0,8,Winter,568.0,1277.0,17705.0,8722.0,1461.0,366.0,30099.0,Wipptal,Winter,31030,30099,136259
2010,3.0,1,Spring,1206.0,166.0,3463.0,8681.0,2108.0,289.0,15913.0,Bozen,Spring,7797,15913,34235
2010,3.0,2,Spring,2705.0,265.0,20767.0,11863.0,1382.0,2606.0,39588.0,Burggrafenamt,Spring,207349,39588,169326
2010,3.0,3,Spring,1266.0,831.0,19154.0,10761.0,4740.0,380.0,37132.0,Eisacktal,Spring,112229,37132,172335
2010,3.0,4,Spring,4797.0,4506.0,62860.0,63317.0,18102.0,1239.0,154821.0,Pustertal,Spring,241411,154821,896279
2010,3.0,5,Spring,2321.0,4690.0,32004.0,35641.0,14970.0,1056.0,90682.0,Salten-Schlern,Spring,122379,90682,567407
2010,3.0,6,Spring,733.0,226.0,6062.0,4936.0,1160.0,461.0,13578.0,Uberetsch-Unterland,Spring,141937,13578,57211
2010,3.0,7,Spring,1206.0,541.0,20173.0,5287.0,2707.0,1523.0,31437.0,Vinschgau,Spring,117791,31437,169882
2010,3.0,8,Spring,606.0,242.0,17207.0,6447.0,1040.0,144.0,25686.0,Wipptal,Spring,53000,25686,106981
2010,4.0,1,Spring,1693.0,312.0,6199.0,7636.0,2548.0,1055.0,19443.0,Bozen,Spring,11637,19443,44710
2010,4.0,2,Spring,6987.0,719.0,64578.0,15526.0,2080.0,14887.0,104777.0,Burggrafenamt,Spring,318178,104777,527513
2010,4.0,3,Spring,1349.0,572.0,11871.0,7896.0,946.0,734.0,23368.0,Eisacktal,Spring,158986,23368,88631
2010,4.0,4,Spring,1258.0,5054.0,14321.0,22401.0,1900.0,982.0,45916.0,Pustertal,Spring,333440,45916,250101
2010,4.0,5,Spring,602.0,1159.0,8369.0,10415.0,1214.0,662.0,22421.0,Salten-Schlern,Spring,170431,22421,129642
2010,4.0,6,Spring,2758.0,581.0,20387.0,6275.0,1307.0,3322.0,34630.0,Uberetsch-Unterland,Spring,212843,34630,137442
2010,4.0,7,Spring,1461.0,889.0,14455.0,6018.0,2000.0,3305.0,28128.0,Vinschgau,Spring,168410,28128,134741
2010,4.0,8,Spring,524.0,216.0,7733.0,5827.0,831.0,446.0,15577.0,Wipptal,Spring,77628,15577,52698
2010,5.0,1,Spring,2370.0,610.0,8127.0,7583.0,3063.0,1136.0,22889.0,Bozen,Spring,15585,22889,50852
2010,5.0,2,Spring,8651.0,1722.0,95647.0,11579.0,2578.0,16418.0,136595.0,Burggrafenamt,Spring,423759,136595,680325
2010,5.0,3,Spring,2363.0,905.0,23268.0,6991.0,1937.0,1424.0,36888.0,Eisacktal,Spring,209674,36888,134963
2010,5.0,4,Spring,2366.0,1254.0,19330.0,16938.0,2269.0,1340.0,43497.0,Pustertal,Spring,427022,43497,148778
2010,5.0,5,Spring,1589.0,545.0,17566.0,6216.0,1470.0,1234.0,28620.0,Salten-Schlern,Spring,227800,28620,112798
2010,5.0,6,Spring,4945.0,890.0,34158.0,5645.0,1836.0,3646.0,51120.0,Uberetsch-Unterland,Spring,294081,51120,202538
2010,5.0,7,Spring,1685.0,929.0,14618.0,3119.0,521.0,3624.0,24496.0,Vinschgau,Spring,224847,24496,92397
2010,5.0,8,Spring,877.0,605.0,9999.0,4333.0,855.0,310.0,16979.0,Wipptal,Spring,101406,16979,51632
2010,6.0,1,Summer,2090.0,734.0,6421.0,6650.0,4537.0,890.0,21322.0,Bozen,Summer,19593,21322,46907
2010,6.0,2,Summer,7588.0,2923.0,78183.0,13456.0,3736.0,10755.0,116641.0,Burggrafenamt,Summer,528480,116641,701293
2010,6.0,3,Summer,2052.0,1166.0,27334.0,8159.0,3076.0,968.0,42755.0,Eisacktal,Summer,258656,42755,191209
2010,6.0,4,Summer,4158.0,3526.0,34519.0,38303.0,6681.0,2021.0,89208.0,Pustertal,Summer,544398,89208,390528
2010,6.0,5,Summer,2746.0,1701.0,29189.0,16768.0,4324.0,2349.0,57077.0,Salten-Schlern,Summer,279625,57077,288792
2010,6.0,6,Summer,5466.0,1425.0,29081.0,5778.0,2496.0,2495.0,46741.0,Uberetsch-Unterland,Summer,367943,46741,212336
2010,6.0,7,Summer,1845.0,2020.0,17726.0,7578.0,2139.0,2902.0,34210.0,Vinschgau,Summer,277221,34210,141740
2010,6.0,8,Summer,951.0,710.0,9247.0,4882.0,1289.0,375.0,17454.0,Wipptal,Summer,125574,17454,65466
2010,7.0,1,Summer,1686.0,2191.0,7479.0,6950.0,7335.0,1121.0,26762.0,Bozen,Summer,23649,26762,57079
2010,7.0,2,Summer,6761.0,8793.0,84732.0,23812.0,6023.0,15511.0,145632.0,Burggrafenamt,Summer,628158,145632,884711
2010,7.0,3,Summer,2370.0,4573.0,28848.0,25607.0,4678.0,1436.0,67512.0,Eisacktal,Summer,308085,67512,340348
2010,7.0,4,Summer,5446.0,10694.0,40029.0,155193.0,12763.0,3677.0,227802.0,Pustertal,Summer,656639,227802,1275724
2010,7.0,5,Summer,2471.0,3874.0,30970.0,60285.0,7578.0,2816.0,107994.0,Salten-Schlern,Summer,331795,107994,659703
2010,7.0,6,Summer,4423.0,4404.0,31622.0,9641.0,5260.0,4548.0,59898.0,Uberetsch-Unterland,Summer,443859,59898,291547
2010,7.0,7,Summer,2664.0,6452.0,24265.0,23258.0,3659.0,4593.0,64891.0,Vinschgau,Summer,330039,64891,302617
2010,7.0,8,Summer,741.0,2556.0,10901.0,15557.0,2418.0,549.0,32722.0,Wipptal,Summer,149946,32722,143949
2010,8.0,1,Summer,1932.0,1191.0,10111.0,7844.0,5957.0,888.0,27923.0,Bozen,Summer,27717,27923,64464
2010,8.0,2,Summer,6873.0,5298.0,113209.0,45867.0,4885.0,9698.0,185830.0,Burggrafenamt,Summer,732964,185830,1117656
2010,8.0,3,Summer,2227.0,2063.0,29482.0,42210.0,2985.0,864.0,79831.0,Eisacktal,Summer,357696,79831,448063
2010,8.0,4,Summer,4151.0,4024.0,36205.0,193766.0,7496.0,2003.0,247645.0,Pustertal,Summer,762044,247645,1706474
2010,8.0,5,Summer,2214.0,2082.0,33260.0,84668.0,4258.0,1797.0,128279.0,Salten-Schlern,Summer,389037,128279,891885
2010,8.0,6,Summer,5050.0,2652.0,46251.0,12238.0,3515.0,2686.0,72392.0,Uberetsch-Unterland,Summer,516795,72392,384305
2010,8.0,7,Summer,2759.0,3229.0,29044.0,35734.0,2307.0,3266.0,76339.0,Vinschgau,Summer,383049,76339,413734
2010,8.0,8,Summer,854.0,1100.0,9927.0,24684.0,1277.0,360.0,38202.0,Wipptal,Summer,174408,38202,209013
2010,9.0,1,Autumn,3232.0,621.0,9543.0,8367.0,5544.0,1619.0,28926.0,Bozen,Autumn,31803,28926,64953
2010,9.0,2,Autumn,8318.0,1942.0,109965.0,12854.0,3582.0,14618.0,151279.0,Burggrafenamt,Autumn,827620,151279,931573
2010,9.0,3,Autumn,3916.0,854.0,36237.0,9644.0,3141.0,2118.0,55910.0,Eisacktal,Autumn,413109,55910,257001
2010,9.0,4,Autumn,7454.0,2569.0,54597.0,40519.0,5734.0,3497.0,114370.0,Pustertal,Autumn,861499,114370,597849
2010,9.0,5,Autumn,3748.0,1352.0,42780.0,16152.0,4533.0,3175.0,71740.0,Salten-Schlern,Autumn,441897,71740,417379
2010,9.0,6,Autumn,6390.0,665.0,41105.0,5847.0,2384.0,3821.0,60212.0,Uberetsch-Unterland,Autumn,573064,60212,296795
2010,9.0,7,Autumn,2306.0,1372.0,27911.0,8264.0,1678.0,4260.0,45791.0,Vinschgau,Autumn,435939,45791,215580
2010,9.0,8,Autumn,1516.0,678.0,14030.0,7630.0,1424.0,451.0,25729.0,Wipptal,Autumn,198822,25729,97273
2010,10.0,1,Autumn,3351.0,170.0,7278.0,9086.0,3259.0,1490.0,24634.0,Bozen,Autumn,35865,24634,57664
2010,10.0,2,Autumn,13016.0,757.0,98017.0,16464.0,2319.0,17298.0,147871.0,Burggrafenamt,Autumn,901092,147871,763140
2010,10.0,3,Autumn,4527.0,426.0,34019.0,8487.0,1527.0,1965.0,50951.0,Eisacktal,Autumn,456518,50951,191335
2010,10.0,4,Autumn,5052.0,476.0,32806.0,18620.0,1451.0,2833.0,61238.0,Pustertal,Autumn,946148,61238,235930
2010,10.0,5,Autumn,2957.0,411.0,27941.0,9604.0,1482.0,2875.0,45270.0,Salten-Schlern,Autumn,487996,45270,205778
2010,10.0,6,Autumn,7763.0,306.0,33422.0,6313.0,1390.0,3946.0,53140.0,Uberetsch-Unterland,Autumn,636625,53140,209554
2010,10.0,7,Autumn,2352.0,222.0,15720.0,9832.0,1489.0,4085.0,33700.0,Vinschgau,Autumn,482193,33700,133966
2010,10.0,8,Autumn,1222.0,346.0,13648.0,5406.0,509.0,905.0,22036.0,Wipptal,Autumn,223056,22036,71011
2010,11.0,1,Autumn,1071.0,243.0,2627.0,11840.0,2065.0,455.0,18301.0,Bozen,Autumn,39807,18301,38482
2010,11.0,2,Autumn,2963.0,142.0,12208.0,20486.0,1513.0,2686.0,39998.0,Burggrafenamt,Autumn,843789,39998,157946
2010,11.0,3,Autumn,1704.0,88.0,5116.0,7095.0,520.0,301.0,14824.0,Eisacktal,Autumn,461642,14824,46581
2010,11.0,4,Autumn,1550.0,74.0,3678.0,9588.0,650.0,272.0,15812.0,Pustertal,Autumn,923026,15812,55428
2010,11.0,5,Autumn,479.0,41.0,2324.0,7025.0,373.0,166.0,10408.0,Salten-Schlern,Autumn,487413,10408,40345
2010,11.0,6,Autumn,1431.0,131.0,4124.0,6779.0,1118.0,377.0,13960.0,Uberetsch-Unterland,Autumn,615242,13960,46884
2010,11.0,7,Autumn,621.0,76.0,2944.0,5618.0,1319.0,412.0,10990.0,Vinschgau,Autumn,489657,10990,41631
2010,11.0,8,Autumn,787.0,52.0,2152.0,6131.0,386.0,149.0,9657.0,Wipptal,Autumn,232381,9657,27006
