Year,district_c,Nationality,Arrivals,Present
2010,1,Austria,20383,39817
2010,1,Benelux countries,6688,13314
2010,1,Germany,66961,154140
2010,1,Italy,113705,251730
2010,1,Other countries,41136,94395
2010,1,Switzerland and Liechtenstein,9854,21453
2010,2,Austria,67149,234229
2010,2,Benelux countries,23589,170486
2010,2,Germany,703240,4328320
2010,2,Italy,247962,923875
2010,2,Other countries,32375,190716
2010,2,Switzerland and Liechtenstein,107821,535341
2010,3,Austria,24924,70880
2010,3,Benelux countries,15315,62947
2010,3,Germany,275990,1311680
2010,3,Italy,189385,824600
2010,3,Other countries,38066,173415
2010,3,Switzerland and Liechtenstein,12361,49915
2010,4,Austria,47606,171109
2010,4,Benelux countries,52901,320849
2010,4,Germany,474843,2651762
2010,4,Italy,906540,4865912
2010,4,Other countries,133578,707675
2010,4,Switzerland and Liechtenstein,21834,93910
2010,5,Austria,24069,98013
2010,5,Benelux countries,34491,218582
2010,5,Germany,309349,1852107
2010,5,Italy,410753,2239513
2010,5,Other countries,90091,546055
2010,5,Switzerland and Liechtenstein,19797,96700
2010,6,Austria,40046,125532
2010,6,Benelux countries,12077,62762
2010,6,Germany,254423,1234115
2010,6,Italy,87364,306895
2010,6,Other countries,23751,138489
2010,6,Switzerland and Liechtenstein,26377,117928
2010,7,Austria,18503,56064
2010,7,Benelux countries,19579,117545
2010,7,Germany,211594,1100720
2010,7,Italy,126352,543642
2010,7,Other countries,25914,135225
2010,7,Switzerland and Liechtenstein,32874,128522
2010,8,Austria,9624,25685
2010,8,Benelux countries,8618,36621
2010,8,Germany,140188,564907
2010,8,Italy,121605,507613
2010,8,Other countries,13016,47278
2010,8,Switzerland and Liechtenstein,4521,17508
2011,1,Austria,21684,44381
2011,1,Benelux countries,7279,14368
2011,1,Germany,70743,161541
2011,1,Italy,112184,243007
2011,1,Other countries,43741,102015
2011,1,Switzerland and Liechtenstein,10782,22872
2011,2,Austria,65123,232018
2011,2,Benelux countries,25063,174001
2011,2,Germany,734370,4486287
2011,2,Italy,238893,850731
2011,2,Other countries,35414,198723
2011,2,Switzerland and Liechtenstein,118827,604031
2011,3,Austria,26871,77147
2011,3,Benelux countries,15565,64390
2011,3,Germany,286694,1345743
2011,3,Italy,186377,798796
2011,3,Other countries,38096,180420
2011,3,Switzerland and Liechtenstein,12983,52897
2011,4,Austria,45379,162139
2011,4,Benelux countries,52620,311105
2011,4,Germany,486146,2661507
2011,4,Italy,904645,4760470
2011,4,Other countries,141970,748585
2011,4,Switzerland and Liechtenstein,24495,106247
2011,5,Austria,24731,99524
2011,5,Benelux countries,35051,217217
2011,5,Germany,320640,1891990
2011,5,Italy,413332,2181183
2011,5,Other countries,95891,576933
2011,5,Switzerland and Liechtenstein,22499,110526
2011,6,Austria,42053,133294
2011,6,Benelux countries,13437,72113
2011,6,Germany,264284,1273505
2011,6,Italy,90512,318306
2011,6,Other countries,22158,118544
2011,6,Switzerland and Liechtenstein,27944,126159
2011,7,Austria,19561,58644
2011,7,Benelux countries,21476,126412
2011,7,Germany,230029,1146842
2011,7,Italy,130769,536299
2011,7,Other countries,26390,137315
2011,7,Switzerland and Liechtenstein,39658,151190
2011,8,Austria,10599,29023
2011,8,Benelux countries,9428,34387
2011,8,Germany,147686,573051
2011,8,Italy,121820,495052
2011,8,Other countries,14366,54786
2011,8,Switzerland and Liechtenstein,4300,16093
