Year,Month,Season,district_c,Unnamed: 0,Arrivals,Present
2010,1.0,Winter,1,273,14573,33404
2010,1.0,Winter,2,44478,26365,137782
2010,1.0,Winter,3,21639,47920,218763
2010,1.0,Winter,4,49366,235840,1231196
2010,1.0,Winter,5,29184,116799,647742
2010,1.0,Winter,6,21776,9238,47312
2010,1.0,Winter,7,23617,28979,151294
2010,1.0,Winter,8,9063,30737,128567
2010,2.0,Winter,1,4071,11687,25196
2010,2.0,Winter,2,113110,25753,119468
2010,2.0,Winter,3,66435,51863,242979
2010,2.0,Winter,4,146920,223133,1236986
2010,2.0,Winter,5,75618,117518,677265
2010,2.0,Winter,6,79209,9425,44289
2010,2.0,Winter,7,71096,32407,181397
2010,2.0,Winter,8,31030,30099,136259
2010,3.0,Spring,1,7797,15913,34235
2010,3.0,Spring,2,207349,39588,169326
2010,3.0,Spring,3,112229,37132,172335
2010,3.0,Spring,4,241411,154821,896279
2010,3.0,Spring,5,122379,90682,567407
2010,3.0,Spring,6,141937,13578,57211
2010,3.0,Spring,7,117791,31437,169882
2010,3.0,Spring,8,53000,25686,106981
2010,4.0,Spring,1,11637,19443,44710
2010,4.0,Spring,2,318178,104777,527513
2010,4.0,Spring,3,158986,23368,88631
2010,4.0,Spring,4,333440,45916,250101
2010,4.0,Spring,5,170431,22421,129642
2010,4.0,Spring,6,212843,34630,137442
2010,4.0,Spring,7,168410,28128,134741
2010,4.0,Spring,8,77628,15577,52698
2010,5.0,Spring,1,15585,22889,50852
2010,5.0,Spring,2,423759,136595,680325
2010,5.0,Spring,3,209674,36888,134963
2010,5.0,Spring,4,427022,43497,148778
2010,5.0,Spring,5,227800,28620,112798
2010,5.0,Spring,6,294081,51120,202538
2010,5.0,Spring,7,224847,24496,92397
2010,5.0,Spring,8,101406,16979,51632
2010,6.0,Summer,1,19593,21322,46907
2010,6.0,Summer,2,528480,116641,701293
2010,6.0,Summer,3,258656,42755,191209
2010,6.0,Summer,4,544398,89208,390528
2010,6.0,Summer,5,279625,57077,288792
2010,6.0,Summer,6,367943,46741,212336
2010,6.0,Summer,7,277221,34210,141740
2010,6.0,Summer,8,125574,17454,65466
2010,7.0,Summer,1,23649,26762,57079
2010,7.0,Summer,2,628158,145632,884711
2010,7.0,Summer,3,308085,67512,340348
2010,7.0,Summer,4,656639,227802,1275724
2010,7.0,Summer,5,331795,107994,659703
2010,7.0,Summer,6,443859,59898,291547
2010,7.0,Summer,7,330039,64891,302617
2010,7.0,Summer,8,149946,32722,143949
2010,8.0,Summer,1,27717,27923,64464
2010,8.0,Summer,2,732964,185830,1117656
2010,8.0,Summer,3,357696,79831,448063
2010,8.0,Summer,4,762044,247645,1706474
2010,8.0,Summer,5,389037,128279,891885
2010,8.0,Summer,6,516795,72392,384305
2010,8.0,Summer,7,383049,76339,413734
2010,8.0,Summer,8,174408,38202,209013
2010,9.0,Autumn,1,31803,28926,64953
2010,9.0,Autumn,2,827620,151279,931573
2010,9.0,Autumn,3,413109,55910,257001
2010,9.0,Autumn,4,861499,114370,597849
2010,9.0,Autumn,5,441897,71740,417379
2010,9.0,Autumn,6,573064,60212,296795
2010,9.0,Autumn,7,435939,45791,215580
2010,9.0,Autumn,8,198822,25729,97273
2010,10.0,Autumn,1,35865,24634,57664
2010,10.0,Autumn,2,901092,147871,763140
2010,10.0,Autumn,3,456518,50951,191335
2010,10.0,Autumn,4,946148,61238,235930
2010,10.0,Autumn,5,487996,45270,205778
2010,10.0,Autumn,6,636625,53140,209554
2010,10.0,Autumn,7,482193,33700,133966
2010,10.0,Autumn,8,223056,22036,71011
2010,11.0,Autumn,1,39807,18301,38482
2010,11.0,Autumn,2,843789,39998,157946
2010,11.0,Autumn,3,461642,14824,46581
2010,11.0,Autumn,4,923026,15812,55428
2010,11.0,Autumn,5,487413,10408,40345
2010,11.0,Autumn,6,615242,13960,46884
2010,11.0,Autumn,7,489657,10990,41631
2010,11.0,Autumn,8,232381,9657,27006
2010,12.0,Winter,1,43395,26354,56903
2010,12.0,Winter,2,987853,61807,192234
2010,12.0,Winter,3,547199,47087,161229
2010,12.0,Winter,4,1148670,178020,785944
2010,12.0,Winter,5,575916,91742,412234
2010,12.0,Winter,6,639244,19704,55508
2010,12.0,Winter,7,547724,23448,102739
2010,12.0,Winter,8,267852,32694,109757
2011,1.0,Winter,1,47205,14710,34647
2011,1.0,Winter,2,1053855,32684,152331
2011,1.0,Winter,3,584996,50816,234013
2011,1.0,Winter,4,1253713,242637,1279784
2011,1.0,Winter,5,615846,122858,686060
2011,1.0,Winter,6,685032,10251,43757
2011,1.0,Winter,7,602594,30816,167682
2011,1.0,Winter,8,282754,31760,135924
2011,2.0,Winter,1,50967,12229,25078
2011,2.0,Winter,2,1029114,22802,98416
2011,2.0,Winter,3,612368,45788,208492
2011,2.0,Winter,4,1358574,199544,1091858
2011,2.0,Winter,5,645448,109845,630258
2011,2.0,Winter,6,765188,9801,41828
2011,2.0,Winter,7,656760,28736,155345
2011,2.0,Winter,8,304640,26945,113422
2011,3.0,Spring,1,54705,15666,32377
2011,3.0,Spring,2,1197027,34677,150041
2011,3.0,Spring,3,675142,39354,184346
2011,3.0,Spring,4,1465842,171974,999361
2011,3.0,Spring,5,700943,97590,604354
2011,3.0,Spring,6,866437,12654,51435
2011,3.0,Spring,7,713968,32588,172235
2011,3.0,Spring,8,335856,26942,113370
2011,4.0,Spring,1,58551,20782,47520
2011,4.0,Spring,2,1431268,120928,586508
2011,4.0,Spring,3,702035,24351,88633
2011,4.0,Spring,4,1476013,37440,169994
2011,4.0,Spring,5,778970,16159,73836
2011,4.0,Spring,6,1026842,40808,158046
2011,4.0,Spring,7,783231,34952,154204
2011,4.0,Spring,8,349081,15327,45401
2011,5.0,Spring,1,62517,20754,47495
2011,5.0,Spring,2,1568391,107478,601179
2011,5.0,Spring,3,780516,28890,110683
2011,5.0,Spring,4,1573697,30966,110296
2011,5.0,Spring,5,829908,20428,81677
2011,5.0,Spring,6,1126076,39934,159184
2011,5.0,Spring,7,834783,19698,73025
2011,5.0,Spring,8,351311,14139,40378
2011,6.0,Summer,1,66513,25574,55806
2011,6.0,Summer,2,1678023,145260,809537
2011,6.0,Summer,3,829589,51384,218118
2011,6.0,Summer,4,1741062,108480,459925
2011,6.0,Summer,5,893163,69016,337429
2011,6.0,Summer,6,1196788,58241,254166
2011,6.0,Summer,7,887253,44580,175450
2011,6.0,Summer,8,407130,22620,78821
2011,7.0,Summer,1,70575,28728,60087
