Year,Month,Season,district_c,District,Arrivals,Present
2019,1.0,Winter,1,Bozen,18399.0,41712.38460480141
2019,1.0,Winter,2,Burggrafenamt,84592.0,558609.9259226748
2019,1.0,Winter,3,Eisacktal,29646.0,166688.32063829724
2019,1.0,Winter,4,Pustertal,246614.0,1884514.7432764696
2019,1.0,Winter,5,Salten-Schlern,102905.0,820092.6278188523
2019,1.0,Winter,6,Uberetsch-Unterland,9549.0,34266.88118992251
2019,1.0,Winter,7,Vinschgau,20854.0,131372.39747136954
2019,1.0,Winter,8,Wipptal,30142.0,140635.1671479977
2019,2.0,Winter,1,Bozen,15364.0,30875.553197604266
2019,2.0,Winter,2,Burggrafenamt,90540.0,728691.0427838835
2019,2.0,Winter,3,Eisacktal,35695.0,233375.70104667856
2019,2.0,Winter,4,Pustertal,273306.0,2559144.4367864197
2019,2.0,Winter,5,Salten-Schlern,117678.0,1207879.9414163257
2019,2.0,Winter,6,Uberetsch-Unterland,7546.0,29482.57012919297
2019,2.0,Winter,7,Vinschgau,28035.0,229032.63670693265
2019,2.0,Winter,8,Wipptal,31418.0,184793.92167333758
2019,3.0,Spring,1,Bozen,19838.0,42833.931859100994
2019,3.0,Spring,2,Burggrafenamt,95310.0,573961.5764153169
2019,3.0,Spring,3,Eisacktal,29106.0,155474.80233285308
2019,3.0,Spring,4,Pustertal,237360.0,1826453.3864329297
2019,3.0,Spring,5,Salten-Schlern,103610.0,802798.0058464205
2019,3.0,Spring,6,Uberetsch-Unterland,11662.0,35700.14828251939
2019,3.0,Spring,7,Vinschgau,33258.0,180215.71662096406
2019,3.0,Spring,8,Wipptal,31335.0,129704.30323568652
2019,4.0,Spring,1,Bozen,24016.0,58411.784016768914
2019,4.0,Spring,2,Burggrafenamt,122857.0,513795.41948172956
2019,4.0,Spring,3,Eisacktal,20649.0,79994.7404864278
2019,4.0,Spring,4,Pustertal,122081.0,519747.8071805536
2019,4.0,Spring,5,Salten-Schlern,38805.0,150642.82148000624
2019,4.0,Spring,6,Uberetsch-Unterland,33467.0,130031.71189536306
2019,4.0,Spring,7,Vinschgau,28954.0,136467.43323840192
2019,4.0,Spring,8,Wipptal,19900.0,66684.62961593093
2019,5.0,Spring,1,Bozen,27433.0,63442.182180034244
2019,5.0,Spring,2,Burggrafenamt,119610.0,479100.6383783636
