Year,district_c,District,Month,Austria,Benelux countries,Germany,Italy,Other countries,Switzerland and Liechtenstein,Arrivals
2010,1,Bozen,78.0,20383.0,6688.0,66961.0,113705.0,41136.0,9854.0,258727.0
2010,2,Burggrafenamt,78.0,67149.0,23589.0,703240.0,247962.0,32375.0,107821.0,1182136.0
2010,3,Eisacktal,78.0,24924.0,15315.0,275990.0,189385.0,38066.0,12361.0,556041.0
2010,4,Pustertal,78.0,47606.0,52901.0,474843.0,906540.0,133578.0,21834.0,1637302.0
2010,5,Salten-Schlern,78.0,24069.0,34491.0,309349.0,410753.0,90091.0,19797.0,888550.0
2010,6,Uberetsch-Unterland,78.0,40046.0,12077.0,254423.0,87364.0,23751.0,26377.0,444038.0
2010,7,Vinschgau,78.0,18503.0,19579.0,211594.0,126352.0,25914.0,32874.0,434816.0
2010,8,Wipptal,78.0,9624.0,8618.0,140188.0,121605.0,13016.0,4521.0,297572.0
2011,1,Bozen,78.0,21684.0,7279.0,70743.0,112184.0,43741.0,10782.0,266413.0
2011,2,Burggrafenamt,78.0,65123.0,25063.0,734370.0,238893.0,35414.0,118827.0,1217690.0
2011,3,Eisacktal,78.0,26871.0,15565.0,286694.0,186377.0,38096.0,12983.0,566586.0
2011,4,Pustertal,78.0,45379.0,52620.0,486146.0,904645.0,141970.0,24495.0,1655255.0
2011,5,Salten-Schlern,78.0,24731.0,35051.0,320640.0,413332.0,95891.0,22499.0,912144.0
2011,6,Uberetsch-Unterland,78.0,42053.0,13437.0,264284.0,90512.0,22158.0,27944.0,460388.0
2011,7,Vinschgau,78.0,19561.0,21476.0,230029.0,130769.0,26390.0,39658.0,467883.0
2011,8,Wipptal,78.0,10599.0,9428.0,147686.0,121820.0,14366.0,4300.0,308199.0
2012,1,Bozen,78.0,20438.0,6839.0,70532.0,111245.0,45459.0,10554.0,265067.0
2012,2,Burggrafenamt,78.0,68198.0,26084.0,752532.0,226930.0,37339.0,130254.0,1241337.0
2012,3,Eisacktal,78.0,28404.0,16774.0,306130.0,186558.0,40421.0,15275.0,593562.0
2012,4,Pustertal,78.0,48624.0,53885.0,525626.0,901046.0,150560.0,29699.0,1709440.0
2012,5,Salten-Schlern,78.0,27741.0,36604.0,354028.0,410722.0,102366.0,28263.0,959724.0
2012,6,Uberetsch-Unterland,78.0,42086.0,13940.0,268207.0,93864.0,24871.0,30673.0,473641.0
2012,7,Vinschgau,78.0,19791.0,22909.0,241882.0,125901.0,28327.0,42817.0,481627.0
2012,8,Wipptal,78.0,10694.0,11035.0,156810.0,121546.0,15147.0,5488.0,320720.0
2013,1,Bozen,78.0,21789.0,6809.0,74860.0,109210.0,49004.0,11427.0,273099.0
2013,2,Burggrafenamt,78.0,70163.0,26330.0,756772.0,218763.0,39067.0,136641.0,1247736.0
2013,3,Eisacktal,78.0,30554.0,16525.0,313117.0,180787.0,41418.0,16150.0,598551.0
2013,4,Pustertal,78.0,48953.0,51911.0,524935.0,888890.0,158557.0,29659.0,1702905.0
2013,5,Salten-Schlern,78.0,29019.0,36410.0,360612.0,390117.0,107273.0,29324.0,952755.0
2013,6,Uberetsch-Unterland,78.0,39438.0,13578.0,269333.0,84169.0,25134.0,30274.0,461926.0
2013,7,Vinschgau,78.0,19294.0,22751.0,241156.0,116979.0,29922.0,43952.0,474054.0
2013,8,Wipptal,78.0,12484.0,12515.0,162017.0,120972.0,17192.0,5403.0,330583.0
2014,1,Bozen,78.0,23196.0,7662.0,79377.0,111070.0,52464.0,11329.0,285098.0
2014,2,Burggrafenamt,78.0,72648.0,25836.0,746957.0,229092.0,41839.0,137540.0,1253912.0
2014,3,Eisacktal,78.0,30125.0,17445.0,326106.0,177440.0,43304.0,16621.0,611041.0
2014,4,Pustertal,78.0,56177.0,49450.0,553272.0,863268.0,168114.0,31279.0,1721560.0
2014,5,Salten-Schlern,78.0,31997.0,37881.0,379584.0,380586.0,116633.0,30890.0,977571.0
2014,6,Uberetsch-Unterland,78.0,40582.0,13201.0,266935.0,89470.0,24305.0,30913.0,465406.0
2014,7,Vinschgau,78.0,19618.0,22854.0,246807.0,112764.0,31946.0,44351.0,478340.0
2014,8,Wipptal,78.0,11447.0,12576.0,172138.0,127184.0,19657.0,6159.0,349161.0
