Year,Month,District,Nationality,Arrivals,Present
2010,1.0,Abtei,Andere Länder,4509,25650
2010,1.0,Abtei,Beneluxstaaten,464,3056
2010,1.0,Abtei,Deutschland,6603,41213
2010,1.0,Abtei,Italien,19425,105835
2010,1.0,Abtei,Schweiz und Liechtenstein,161,855
2010,1.0,Abtei,Österreich,606,2237
2010,1.0,Ahrntal,Andere Länder,884,5015
2010,1.0,Ahrntal,Beneluxstaaten,473,3050
2010,1.0,Ahrntal,Deutschland,13755,73360
2010,1.0,Ahrntal,Italien,5729,23490
2010,1.0,Ahrntal,Schweiz und Liechtenstein,143,579
2010,1.0,Ahrntal,Österreich,125,477
2010,1.0,Aldein,Andere Länder,14,79
2010,1.0,Aldein,Beneluxstaaten,1,6
2010,1.0,Aldein,Deutschland,894,6641
2010,1.0,Aldein,Italien,344,2005
2010,1.0,Aldein,Schweiz und Liechtenstein,0,5
2010,1.0,Algund,Andere Länder,27,457
2010,1.0,Algund,Beneluxstaaten,0,11
2010,1.0,Algund,Deutschland,71,971
2010,1.0,Algund,Italien,753,3691
2010,1.0,Algund,Schweiz und Liechtenstein,0,76
2010,1.0,Algund,Österreich,17,33
2010,1.0,Altrei,Andere Länder,56,78
2010,1.0,Altrei,Beneluxstaaten,0,46
2010,1.0,Altrei,Deutschland,154,871
2010,1.0,Altrei,Italien,45,240
2010,1.0,Altrei,Schweiz und Liechtenstein,2,12
2010,1.0,Andrian,Andere Länder,1,7
2010,1.0,Andrian,Deutschland,5,67
2010,1.0,Andrian,Italien,73,386
2010,1.0,Andrian,Österreich,2,39
2010,1.0,Auer,Andere Länder,205,409
2010,1.0,Auer,Beneluxstaaten,1,1
2010,1.0,Auer,Deutschland,156,749
2010,1.0,Auer,Italien,771,2452
2010,1.0,Auer,Schweiz und Liechtenstein,3,5
2010,1.0,Auer,Österreich,13,24
2010,1.0,Barbian,Andere Länder,131,636
2010,1.0,Barbian,Beneluxstaaten,119,303
2010,1.0,Barbian,Deutschland,711,3131
2010,1.0,Barbian,Italien,139,776
2010,1.0,Barbian,Österreich,19,61
2010,1.0,Bozen,Andere Länder,1763,4663
2010,1.0,Bozen,Beneluxstaaten,91,164
2010,1.0,Bozen,Deutschland,1768,3512
2010,1.0,Bozen,Italien,10319,23709
2010,1.0,Bozen,Schweiz und Liechtenstein,170,384
2010,1.0,Bozen,Österreich,462,972
2010,1.0,Branzoll,Andere Länder,18,180
2010,1.0,Branzoll,Italien,113,457
2010,1.0,Branzoll,Schweiz und Liechtenstein,4,12
2010,1.0,Brenner,Andere Länder,94,552
2010,1.0,Brenner,Beneluxstaaten,162,1019
2010,1.0,Brenner,Deutschland,2855,12877
2010,1.0,Brenner,Italien,1092,8613
2010,1.0,Brenner,Schweiz und Liechtenstein,16,78
2010,1.0,Brenner,Österreich,20,48
2010,1.0,Brixen,Andere Länder,1035,5676
2010,1.0,Brixen,Beneluxstaaten,83,204
2010,1.0,Brixen,Deutschland,3997,16544
2010,1.0,Brixen,Italien,5180,20146
2010,1.0,Brixen,Schweiz und Liechtenstein,79,186
2010,1.0,Brixen,Österreich,215,480
2010,1.0,Bruneck,Andere Länder,3406,18831
2010,1.0,Bruneck,Beneluxstaaten,309,1546
2010,1.0,Bruneck,Deutschland,3758,18515
2010,1.0,Bruneck,Italien,7191,30528
2010,1.0,Bruneck,Schweiz und Liechtenstein,154,614
2010,1.0,Bruneck,Österreich,540,1708
2010,1.0,Burgstall,Andere Länder,38,126
2010,1.0,Burgstall,Beneluxstaaten,3,6
2010,1.0,Burgstall,Deutschland,49,353
2010,1.0,Burgstall,Italien,326,1241
2010,1.0,Burgstall,Schweiz und Liechtenstein,3,10
2010,1.0,Burgstall,Österreich,97,268
2010,1.0,Corvara,Andere Länder,4452,28354
2010,1.0,Corvara,Beneluxstaaten,630,3823
2010,1.0,Corvara,Deutschland,7583,44691
2010,1.0,Corvara,Italien,16252,90152
2010,1.0,Corvara,Schweiz und Liechtenstein,257,1308
2010,1.0,Corvara,Österreich,719,3234
2010,1.0,Deutschnofen,Andere Länder,1398,7855
2010,1.0,Deutschnofen,Beneluxstaaten,180,1051
2010,1.0,Deutschnofen,Deutschland,4420,27166
2010,1.0,Deutschnofen,Italien,2324,10125
2010,1.0,Deutschnofen,Schweiz und Liechtenstein,82,390
2010,1.0,Deutschnofen,Österreich,153,599
2010,1.0,Enneberg,Andere Länder,3026,17578
2010,1.0,Enneberg,Beneluxstaaten,170,904
2010,1.0,Enneberg,Deutschland,1868,10721
2010,1.0,Enneberg,Italien,12146,65788
2010,1.0,Enneberg,Schweiz und Liechtenstein,63,348
2010,1.0,Enneberg,Österreich,173,592
2010,1.0,Eppan a.d. Weinstr.,Andere Länder,92,2023
2010,1.0,Eppan a.d. Weinstr.,Beneluxstaaten,6,10
2010,1.0,Eppan a.d. Weinstr.,Deutschland,308,1527
2010,1.0,Eppan a.d. Weinstr.,Italien,881,5416
2010,1.0,Eppan a.d. Weinstr.,Schweiz und Liechtenstein,78,268
2010,1.0,Eppan a.d. Weinstr.,Österreich,53,126
2010,1.0,Feldthurns,Andere Länder,115,470
2010,1.0,Feldthurns,Beneluxstaaten,24,90
2010,1.0,Feldthurns,Deutschland,436,2007
2010,1.0,Feldthurns,Italien,578,2414
2010,1.0,Feldthurns,Schweiz und Liechtenstein,34,158
2010,1.0,Feldthurns,Österreich,88,414
2010,1.0,Franzensfeste,Andere Länder,1,1
2010,1.0,Franzensfeste,Deutschland,273,804
2010,1.0,Franzensfeste,Italien,159,655
2010,1.0,Franzensfeste,Schweiz und Liechtenstein,4,4
2010,1.0,Franzensfeste,Österreich,8,11
2010,1.0,Freienfeld,Andere Länder,238,509
2010,1.0,Freienfeld,Beneluxstaaten,35,35
2010,1.0,Freienfeld,Deutschland,2034,5481
2010,1.0,Freienfeld,Italien,593,2330
2010,1.0,Freienfeld,Schweiz und Liechtenstein,1,3
2010,1.0,Freienfeld,Österreich,23,55
2010,1.0,Gais,Andere Länder,385,1933
2010,1.0,Gais,Beneluxstaaten,283,1416
2010,1.0,Gais,Deutschland,2818,10656
2010,1.0,Gais,Italien,1690,7423
2010,1.0,Gais,Schweiz und Liechtenstein,9,47
2010,1.0,Gais,Österreich,72,279
2010,1.0,Gargazon,Andere Länder,7,103
2010,1.0,Gargazon,Beneluxstaaten,1,2
2010,1.0,Gargazon,Deutschland,23,413
2010,1.0,Gargazon,Italien,132,984
2010,1.0,Gargazon,Österreich,14,23
2010,1.0,Glurns,Beneluxstaaten,4,4
2010,1.0,Glurns,Deutschland,19,167
2010,1.0,Glurns,Italien,79,327
2010,1.0,Glurns,Schweiz und Liechtenstein,2,10
2010,1.0,Glurns,Österreich,9,23
2010,1.0,Graun im Vinschgau,Andere Länder,294,1236
2010,1.0,Graun im Vinschgau,Beneluxstaaten,407,2483
2010,1.0,Graun im Vinschgau,Deutschland,6422,33241
2010,1.0,Graun im Vinschgau,Italien,1260,4660
2010,1.0,Graun im Vinschgau,Schweiz und Liechtenstein,502,1588
2010,1.0,Graun im Vinschgau,Österreich,91,284
2010,1.0,Gsies,Andere Länder,242,1088
2010,1.0,Gsies,Beneluxstaaten,34,205
2010,1.0,Gsies,Deutschland,1183,6647
2010,1.0,Gsies,Italien,2978,13904
