Year,Month,District,Arrivals,Present
2010,1.0,Alta Valle Isarco,30737,128567
2010,1.0,Bolzano,14573,33404
2010,1.0,Burggrafenamt,26365,137782
2010,1.0,Oltradige-Bassa Ates.,9238,47312
2010,1.0,Salto-Schiliar,116799,647742
2010,1.0,Val Pusteria,235840,1231196
2010,1.0,Val Venosta,28979,151294
2010,1.0,Valle Isarco,47920,218763
2010,2.0,Alta Valle Isarco,30099,136259
2010,2.0,Bolzano,11687,25196
2010,2.0,Burggrafenamt,25753,119468
2010,2.0,Oltradige-Bassa Ates.,9425,44289
2010,2.0,Salto-Schiliar,117518,677265
2010,2.0,Val Pusteria,223133,1236986
2010,2.0,Val Venosta,32407,181397
2010,2.0,Valle Isarco,51863,242979
2010,3.0,Alta Valle Isarco,25686,106981
2010,3.0,Bolzano,15913,34235
2010,3.0,Burggrafenamt,39588,169326
2010,3.0,Oltradige-Bassa Ates.,13578,57211
2010,3.0,Salto-Schiliar,90682,567407
2010,3.0,Val Pusteria,154821,896279
2010,3.0,Val Venosta,31437,169882
2010,3.0,Valle Isarco,37132,172335
2010,4.0,Alta Valle Isarco,15577,52698
2010,4.0,Bolzano,19443,44710
2010,4.0,Burggrafenamt,104777,527513
2010,4.0,Oltradige-Bassa Ates.,34630,137442
2010,4.0,Salto-Schiliar,22421,129642
2010,4.0,Val Pusteria,45916,250101
2010,4.0,Val Venosta,28128,134741
2010,4.0,Valle Isarco,23368,88631
2010,5.0,Alta Valle Isarco,16979,51632
2010,5.0,Bolzano,22889,50852
2010,5.0,Burggrafenamt,136595,680325
2010,5.0,Oltradige-Bassa Ates.,51120,202538
2010,5.0,Salto-Schiliar,28620,112798
2010,5.0,Val Pusteria,43497,148778
2010,5.0,Val Venosta,24496,92397
2010,5.0,Valle Isarco,36888,134963
2010,6.0,Alta Valle Isarco,17454,65466
2010,6.0,Bolzano,21322,46907
2010,6.0,Burggrafenamt,116641,701293
2010,6.0,Oltradige-Bassa Ates.,46741,212336
2010,6.0,Salto-Schiliar,57077,288792
2010,6.0,Val Pusteria,89208,390528
2010,6.0,Val Venosta,34210,141740
2010,6.0,Valle Isarco,42755,191209
2010,7.0,Alta Valle Isarco,32722,143949
2010,7.0,Bolzano,26762,57079
2010,7.0,Burggrafenamt,145632,884711
2010,7.0,Oltradige-Bassa Ates.,59898,291547
2010,7.0,Salto-Schiliar,107994,659703
2010,7.0,Val Pusteria,227802,1275724
2010,7.0,Val Venosta,64891,302617
2010,7.0,Valle Isarco,67512,340348
2010,8.0,Alta Valle Isarco,38202,209013
2010,8.0,Bolzano,27923,64464
2010,8.0,Burggrafenamt,185830,1117656
2010,8.0,Oltradige-Bassa Ates.,72392,384305
2010,8.0,Salto-Schiliar,128279,891885
2010,8.0,Val Pusteria,247645,1706474
2010,8.0,Val Venosta,76339,413734
2010,8.0,Valle Isarco,79831,448063
2010,9.0,Alta Valle Isarco,25729,97273
2010,9.0,Bolzano,28926,64953
2010,9.0,Burggrafenamt,151279,931573
2010,9.0,Oltradige-Bassa Ates.,60212,296795
2010,9.0,Salto-Schiliar,71740,417379
2010,9.0,Val Pusteria,114370,597849
2010,9.0,Val Venosta,45791,215580
2010,9.0,Valle Isarco,55910,257001
2010,10.0,Alta Valle Isarco,22036,71011
2010,10.0,Bolzano,24634,57664
2010,10.0,Burggrafenamt,147871,763140
2010,10.0,Oltradige-Bassa Ates.,53140,209554
2010,10.0,Salto-Schiliar,45270,205778
2010,10.0,Val Pusteria,61238,235930
2010,10.0,Val Venosta,33700,133966
2010,10.0,Valle Isarco,50951,191335
2010,11.0,Alta Valle Isarco,9657,27006
2010,11.0,Bolzano,18301,38482
2010,11.0,Burggrafenamt,39998,157946
2010,11.0,Oltradige-Bassa Ates.,13960,46884
2010,11.0,Salto-Schiliar,10408,40345
2010,11.0,Val Pusteria,15812,55428
2010,11.0,Val Venosta,10990,41631
2010,11.0,Valle Isarco,14824,46581
2010,12.0,Alta Valle Isarco,32694,109757
2010,12.0,Bolzano,26354,56903
2010,12.0,Burggrafenamt,61807,192234
2010,12.0,Oltradige-Bassa Ates.,19704,55508
2010,12.0,Salto-Schiliar,91742,412234
2010,12.0,Val Pusteria,178020,785944
2010,12.0,Val Venosta,23448,102739
2010,12.0,Valle Isarco,47087,161229
2011,1.0,Alta Valle Isarco,31760,135924
2011,1.0,Bolzano,14710,34647
2011,1.0,Burggrafenamt,32684,152331
2011,1.0,Oltradige-Bassa Ates.,10251,43757
2011,1.0,Salto-Schiliar,122858,686060
2011,1.0,Val Pusteria,242637,1279784
2011,1.0,Val Venosta,30816,167682
2011,1.0,Valle Isarco,50816,234013
2011,2.0,Alta Valle Isarco,26945,113422
2011,2.0,Bolzano,12229,25078
2011,2.0,Burggrafenamt,22802,98416
2011,2.0,Oltradige-Bassa Ates.,9801,41828
2011,2.0,Salto-Schiliar,109845,630258
2011,2.0,Val Pusteria,199544,1091858
2011,2.0,Val Venosta,28736,155345
2011,2.0,Valle Isarco,45788,208492
2011,3.0,Alta Valle Isarco,26942,113370
2011,3.0,Bolzano,15666,32377
2011,3.0,Burggrafenamt,34677,150041
2011,3.0,Oltradige-Bassa Ates.,12654,51435
2011,3.0,Salto-Schiliar,97590,604354
2011,3.0,Val Pusteria,171974,999361
2011,3.0,Val Venosta,32588,172235
2011,3.0,Valle Isarco,39354,184346
2011,4.0,Alta Valle Isarco,15327,45401
2011,4.0,Bolzano,20782,47520
2011,4.0,Burggrafenamt,120928,586508
2011,4.0,Oltradige-Bassa Ates.,40808,158046
2011,4.0,Salto-Schiliar,16159,73836
2011,4.0,Val Pusteria,37440,169994
2011,4.0,Val Venosta,34952,154204
2011,4.0,Valle Isarco,24351,88633
2011,5.0,Alta Valle Isarco,14139,40378
2011,5.0,Bolzano,20754,47495
2011,5.0,Burggrafenamt,107478,601179
2011,5.0,Oltradige-Bassa Ates.,39934,159184
2011,5.0,Salto-Schiliar,20428,81677
2011,5.0,Val Pusteria,30966,110296
2011,5.0,Val Venosta,19698,73025
2011,5.0,Valle Isarco,28890,110683
2011,6.0,Alta Valle Isarco,22620,78821
2011,6.0,Bolzano,25574,55806
2011,6.0,Burggrafenamt,145260,809537
2011,6.0,Oltradige-Bassa Ates.,58241,254166
2011,6.0,Salto-Schiliar,69016,337429
2011,6.0,Val Pusteria,108480,459925
2011,6.0,Val Venosta,44580,175450
2011,6.0,Valle Isarco,51384,218118
2011,7.0,Alta Valle Isarco,34742,151402
2011,7.0,Bolzano,28728,60087
2011,7.0,Burggrafenamt,161915,927873
2011,7.0,Oltradige-Bassa Ates.,65027,309457
2011,7.0,Salto-Schiliar,117069,694425
2011,7.0,Val Pusteria,232449,1294477
2011,7.0,Val Venosta,69446,315531
2011,7.0,Valle Isarco,71816,347655
2011,8.0,Alta Valle Isarco,40104,209548
2011,8.0,Bolzano,29250,67759
2011,8.0,Burggrafenamt,181725,1140831
2011,8.0,Oltradige-Bassa Ates.,69932,390160
2011,8.0,Salto-Schiliar,129911,902128
2011,8.0,Val Pusteria,251278,1698882
2011,8.0,Val Venosta,79218,417805
2011,8.0,Valle Isarco,77358,451653
2011,9.0,Alta Valle Isarco,28729,102895
2011,9.0,Bolzano,30374,68467
2011,9.0,Burggrafenamt,159232,950619
2011,9.0,Oltradige-Bassa Ates.,65871,306104
2011,9.0,Salto-Schiliar,81237,440435
2011,9.0,Val Pusteria,126568,629679
2011,9.0,Val Venosta,55482,237104
2011,9.0,Valle Isarco,60439,265550
2011,10.0,Alta Valle Isarco,24504,78669
2011,10.0,Bolzano,25613,58778
2011,10.0,Burggrafenamt,153590,794657
2011,10.0,Oltradige-Bassa Ates.,52199,217456
2011,10.0,Salto-Schiliar,48269,216193
2011,10.0,Val Pusteria,63332,243751
2011,10.0,Val Venosta,36821,146360
2011,10.0,Valle Isarco,53572,205437
2011,11.0,Alta Valle Isarco,9167,25311
2011,11.0,Bolzano,17282,36581
2011,11.0,Burggrafenamt,34870,144926
2011,11.0,Oltradige-Bassa Ates.,13691,47724
